,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
32,32,-1236.5862248,2024-12-10 18:02:44.469925,2024-12-10 18:02:44.783589,0 days 00:00:00.313664,1024,10000,0.9999,0.001285557804495006,small,0.44565840189932837,,0.02,1,PRUNED
33,33,-1142.4999174,2024-12-10 18:02:44.783915,2024-12-10 18:02:45.085187,0 days 00:00:00.301272,100,10000,0.99,0.0003515641621421039,small,0.3003176701871856,normal,0.08,128,PRUNED
34,34,-1109.6035726000002,2024-12-10 18:02:45.085449,2024-12-10 18:02:45.461486,0 days 00:00:00.376037,64,10000,0.999,0.012152428294884391,big,0.38865581815972744,normal,0.08,128,COMPLETE
35,35,-1049.4408134,2024-12-10 18:02:45.462306,2024-12-10 18:02:45.758203,0 days 00:00:00.295897,256,100000,0.98,0.00041723969589293466,small,0.3190441438480051,,0.08,32,COMPLETE
36,36,-1288.937598,2024-12-10 18:02:45.758583,2024-12-10 18:02:46.059903,0 days 00:00:00.301320,256,100000,0.98,9.82630510846605e-05,small,0.3156954422935241,,0.005,256,PRUNED
37,37,-1315.485506,2024-12-10 18:02:46.060188,2024-12-10 18:02:46.355689,0 days 00:00:00.295501,1024,100000,0.98,0.001959876232620143,small,0.2937064738392942,,0.08,32,PRUNED
38,38,-1231.8162589999997,2024-12-10 18:02:46.355990,2024-12-10 18:02:46.648599,0 days 00:00:00.292609,256,100000,0.9,0.0010800857613307484,small,0.20200616554161588,ornstein-uhlenbeck,0.05,32,PRUNED
39,39,-1130.2094024,2024-12-10 18:02:46.648853,2024-12-10 18:02:46.952499,0 days 00:00:00.303646,64,10000,0.9999,0.2886681150875161,small,0.058107583940251284,,0.02,16,PRUNED
40,40,-1213.0170056,2024-12-10 18:02:46.952783,2024-12-10 18:02:47.253194,0 days 00:00:00.300411,128,100000,0.99,0.00029887479221553295,small,0.02077743917468236,,0.08,32,PRUNED
41,41,-1134.1771416,2024-12-10 18:02:47.253454,2024-12-10 18:02:47.590858,0 days 00:00:00.337404,64,10000,0.99,0.0006334497849247846,big,0.18584824704148165,ornstein-uhlenbeck,0.02,128,PRUNED
42,42,-1203.326285,2024-12-10 18:02:47.591134,2024-12-10 18:02:48.009119,0 days 00:00:00.417985,2048,1000000,0.995,8.853596089361982e-05,big,0.35274771881307465,,0.02,4,PRUNED
43,43,-1370.5797017999998,2024-12-10 18:02:48.009442,2024-12-10 18:02:48.313034,0 days 00:00:00.303592,256,1000000,0.98,0.000556064005836064,small,0.3054741431803322,,0.08,32,PRUNED
44,44,-1247.8531746,2024-12-10 18:02:48.313327,2024-12-10 18:02:48.664627,0 days 00:00:00.351300,64,10000,0.99,0.018555052345714997,big,0.6918329844672078,,0.02,16,PRUNED
45,45,-1286.9495018,2024-12-10 18:02:48.664930,2024-12-10 18:02:48.973426,0 days 00:00:00.308496,64,1000000,0.9,0.03687983516447256,small,0.47955532130737305,,0.02,512,PRUNED
46,46,-1224.6835556,2024-12-10 18:02:48.973676,2024-12-10 18:02:49.304968,0 days 00:00:00.331292,64,1000000,0.95,0.004182762193376291,big,0.5035890357468445,,0.05,256,PRUNED
47,47,-1359.5324853999998,2024-12-10 18:02:49.305248,2024-12-10 18:02:49.602010,0 days 00:00:00.296762,16,10000,0.99,0.043713974247799776,small,0.3077474525541296,ornstein-uhlenbeck,0.05,128,PRUNED
48,48,-1086.825721,2024-12-10 18:02:49.602263,2024-12-10 18:02:49.913561,0 days 00:00:00.311298,16,1000000,0.99,0.0005102087253052389,small,0.1181773083852978,ornstein-uhlenbeck,0.08,64,COMPLETE
49,49,-1291.6716022,2024-12-10 18:02:49.914687,2024-12-10 18:02:50.269375,0 days 00:00:00.354688,256,100000,0.98,6.358393612470476e-05,big,0.1986319698950753,,0.08,4,PRUNED
